id,name,inventory,importance_factor,demand,cost
ec8a34b8-5b27-4a5a-9dc7-bb7b8fa890cc,Module_0,554,0.75037125762378,10341,1666.3372085493331
6e47b735-ed4c-45b7-8091-947dfef7ad0c,Module_1,721,0.8013698643445049,6172,6899.999489024409
775bd123-1025-49f9-8084-c5f7d8cbffea,Module_2,443,0.37004016224778824,2563,1309.9305690848041
99308a5e-dc58-46ab-b722-76197f0cdfee,Module_3,308,0.6931225260970649,11491,3826.5128484054285
c22245e6-4c07-4df7-89f0-979b431fd82f,Module_4,433,0.13909795110969406,3565,1893.3037899887179
9ae849b7-c0c9-48c8-bc83-3739d844086d,Module_5,932,0.38936877431588035,9926,4292.30241123576
c6aeeeec-423a-4206-b57c-f07895fbca6e,Module_6,988,0.20074249166183228,4298,5636.538816918038
1550504f-8816-461b-ba7f-5fe351b84343,Module_7,494,0.260284099916847,9552,9174.545348720223
5fcdaa40-581d-4f32-b4a0-f5e25aabc7a2,Module_8,740,0.10250394644688518,1800,3939.713197967001
72753d78-81e1-4aab-8369-e8b01215afb4,Module_9,914,0.6382360241247662,3810,8607.145652612551
c2599404-bbd5-434e-8915-b0c85455b4d0,Module_10,925,0.9813412344294209,960,5227.427831114586
7495aeea-72cd-487b-b374-19704c30e812,Module_11,790,0.7520550717612817,7865,5477.478743468453
f1672791-cd8e-43f1-a43e-7e8c7c58ac45,Module_12,564,0.9737875127896912,5681,445.2834558445703
573216d3-235f-43bc-b435-476cc0f23d68,Module_13,105,0.5510497029570879,6898,2032.9572185680024
67ea63a9-5200-4aec-9bf0-74cfdc653207,Module_14,52,0.1092179929423222,10316,9305.15822730901
5b5ff1c9-b933-415e-8221-d60575b502a8,Module_15,805,0.6620442111591865,5809,1605.6080285735645
c83ebb9a-f7b7-4f73-b28a-e422ce26685b,Module_16,754,0.9978038565502237,7067,5552.645832615602
e1e2a3c4-5205-4495-b885-70217880d414,Module_17,638,0.3945411318806705,7537,9576.074447344527
0f7cd5f1-0742-4e42-930b-6c7cb36a0a01,Module_18,446,0.8438280874461523,9489,9139.643352008958
027838f5-a94e-4717-8c81-bf726688251a,Module_19,845,0.6306630207155779,15708,7897.5653376994715
a89a0c91-e0bf-4074-ab57-6d9c90610bae,Module_20,475,0.28858773699492524,11750,9852.89205373646
458dcf9c-70a7-4f74-a28a-b878a4c0c46d,Module_21,351,0.23341433029526787,3526,8554.393839584622
9a80b8ce-88bd-4723-8d52-7c819c07cd76,Module_22,118,0.6168278059804092,6527,4632.674088641532
37fea768-0230-4aa3-bc18-1585c14823ec,Module_23,497,0.2570424597048842,6903,761.7560578769758
cefae146-4bf4-4080-9c96-252c3c273121,Module_24,292,0.24722705532498898,840,9589.544467277065
023d9e79-bc87-4b1d-be58-99708fc84b44,Module_25,454,0.3920356567294626,2604,5733.814734489836
f8996cfb-1ffd-409f-9a96-e7a0115127d4,Module_26,466,0.8015344213304209,8483,7025.287068923799
6cb652b0-e179-4849-b4cf-b481031868d6,Module_27,604,0.964197236920473,6793,3338.093426140922
a604bca9-9389-4f04-9422-20937b5a2b1c,Module_28,447,0.13190222058522746,9427,1567.4647604254353
69570e55-444e-4d62-ae7c-370c504b295e,Module_29,683,0.32644687685610163,1558,4430.13113372187
e707aa0f-1955-48ce-8885-0ff787075adb,Module_30,270,0.1921487286999003,7572,7467.814505642598
b6f929d4-e1c0-4f5b-bdea-e81e2ad5923f,Module_31,807,0.28873296382046043,11032,8052.139765921215
9f868139-20e6-45bb-9e10-4daa59708572,Module_32,855,0.39787206307460543,5508,6613.207145234265
b106c3aa-a6c2-49d7-aea5-f7ddd1168ba9,Module_33,949,0.5590254421769189,4604,6826.69979403185
008ec27b-70c0-4cd0-8e2d-ed96e46eeedd,Module_34,680,0.3623912716598885,4021,6934.526318244535
60b2d454-6a95-4069-9232-0f6f16795214,Module_35,755,0.6385459782201633,3994,6423.157442285929
5b3c8c52-cdc1-4650-a07c-a06bfafa561e,Module_36,856,0.4635165252904345,3324,2315.0024465596985
2bda83f8-3ce8-4de8-bb78-9f4ba20c278a,Module_37,187,0.739147919643148,4178,7344.615537706748
9b59ea33-95b6-4741-a6f3-c3287cf16729,Module_38,87,0.875285694517519,1626,7108.0830921242905
e9d37369-1f56-4636-bec7-5633b26fb193,Module_39,337,0.9351387999002959,2998,2878.0529081501077
e2af5b81-e5a3-4ebc-b0a9-a46013147669,Module_40,96,0.9506501235548086,798,934.3272437113285
d70dc218-c5b5-4cbb-bd04-219a0213e00a,Module_41,698,0.3605341804328587,6011,1128.591876778894
17d31a3b-d378-4dee-a947-df5c6c7b2795,Module_42,936,0.9592093836627181,2896,9579.6292641111
2fc75e41-09eb-4139-8c71-37c8b94b3431,Module_43,684,0.4320290123070333,10033,481.10685225194794
55d63ae2-c559-4754-96ee-a236f26b0559,Module_44,642,0.2881705719351223,8980,2466.4608507943854
67a3f082-69ed-4708-ba9c-78fd60150837,Module_45,641,0.15603961191847063,6581,2248.0301321652632
81e4cc0f-63ce-4910-8ecf-7effe2b8209b,Module_46,736,0.20393190494528352,11862,1758.9459771182378
89cd3418-39f5-4cd7-ac7a-8f608557535b,Module_47,229,0.627266601726838,2632,4508.924440638426
afc72613-b5c3-4fa1-9bf8-0517570dd106,Module_48,523,0.9349046185341188,11529,1918.4827270012236
910b970d-929d-4412-8d90-cb15988f4915,Module_49,359,0.8807321920140098,9778,9247.647952566378
