source_id,target_id,quantity,transportation_cost,transportation_time
e1324a94-4f74-40f9-8ecd-014cec006b5f,cc5dcb7d-e794-456a-802c-64b4cfc68c09,1,0,0
e1324a94-4f74-40f9-8ecd-014cec006b5f,ceb03719-c07d-47a4-867d-8347d8f97fc6,1,0,0
e1324a94-4f74-40f9-8ecd-014cec006b5f,5b884d6c-2058-4708-ba30-83cbc08a1f2d,1,0,0
e1324a94-4f74-40f9-8ecd-014cec006b5f,9055c6e0-5491-4c93-9a93-ce97a938d2fa,1,0,0
cc5dcb7d-e794-456a-802c-64b4cfc68c09,c8dc3460-ea9d-4e80-a38f-9f2791083d39,1,0,0
cc5dcb7d-e794-456a-802c-64b4cfc68c09,661fbd23-c993-4b1b-b70a-544cde781ceb,1,0,0
cc5dcb7d-e794-456a-802c-64b4cfc68c09,98b3465c-4ef0-4336-9dc9-29dffd7958a9,1,0,0
cc5dcb7d-e794-456a-802c-64b4cfc68c09,25a59343-128b-4f6d-9de5-1d9e0168620e,1,0,0
cc5dcb7d-e794-456a-802c-64b4cfc68c09,e778b592-3dc8-4dfa-920e-4f46fd7bfb9d,1,0,0
cc5dcb7d-e794-456a-802c-64b4cfc68c09,09638dfd-aade-4582-a584-7299df042b6a,1,0,0
ceb03719-c07d-47a4-867d-8347d8f97fc6,9469cfc4-a033-4891-9a6b-526974848072,1,0,0
ceb03719-c07d-47a4-867d-8347d8f97fc6,8e430507-266e-490c-b3d2-d600a6fdbd52,1,0,0
ceb03719-c07d-47a4-867d-8347d8f97fc6,ef0e4d3e-7520-4631-bee7-776314b59497,1,0,0
5b884d6c-2058-4708-ba30-83cbc08a1f2d,2594571f-e533-426e-b6ba-5e7c9739f3b3,1,0,0
5b884d6c-2058-4708-ba30-83cbc08a1f2d,cc9fbd96-1f9c-455c-9843-2b43297df13d,1,0,0
5b884d6c-2058-4708-ba30-83cbc08a1f2d,d81184ed-3fb1-4778-bdf6-496582ef6fc8,1,0,0
5b884d6c-2058-4708-ba30-83cbc08a1f2d,85231649-1acf-40f6-b7bc-f6fa2d441986,1,0,0
5b884d6c-2058-4708-ba30-83cbc08a1f2d,401c4b51-6ab6-49da-80c2-b40685d708c6,1,0,0
5b884d6c-2058-4708-ba30-83cbc08a1f2d,c50eda23-5bc0-40e2-8950-3c017eb36e2e,1,0,0
5b884d6c-2058-4708-ba30-83cbc08a1f2d,de0c3365-43e1-454b-8253-262a284ef675,1,0,0
9055c6e0-5491-4c93-9a93-ce97a938d2fa,5cb448b7-bc74-46b7-b9c7-fe2a77d14b8f,1,0,0
9055c6e0-5491-4c93-9a93-ce97a938d2fa,43afc6c5-d3c2-406f-9718-212e69ef7655,1,0,0
9055c6e0-5491-4c93-9a93-ce97a938d2fa,dc0a43ad-517e-4596-b810-912f1cd1ca63,1,0,0
9055c6e0-5491-4c93-9a93-ce97a938d2fa,879df480-5abb-482b-a460-df65005406cc,1,0,0
9055c6e0-5491-4c93-9a93-ce97a938d2fa,9842a35d-657e-4e84-98e3-5e6ab045a5e7,1,0,0
c8dc3460-ea9d-4e80-a38f-9f2791083d39,6e47b735-ed4c-45b7-8091-947dfef7ad0c,3,210.64134452521895,5.53684099330107
